□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,
계약일자 : 20220301 ~ 20220331,,,,,,,,,,,,,,
실거래구분 : 아파트(매매),,,,,,,,,,,,,,
주소구분 : 도로명주소,,,,,,,,,,,,,,
시도 : 전체,,,,,,,,,,,,,,
시군구 : 전체,,,,,,,,,,,,,,
도로명 : 전체,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
강원도 강릉시 견소동,202,202,0,송정한신,59.8,202203,7,"18,000",3,1997,경강로2539번길 8,,중개거래,강원 강릉시
강원도 강릉시 견소동,202,202,0,송정한신,59.8,202203,8,"21,000",8,1997,경강로2539번길 8,,중개거래,강원 강릉시
강원도 강릉시 견소동,202,202,0,송정한신,84.945,202203,26,"25,500",10,1997,경강로2539번길 8,,중개거래,강원 강릉시
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,202203,14,"33,500",1,2005,경강로2539번길 22,,중개거래,강원 강릉시
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,59.99,202203,18,"27,000",13,2005,경강로2539번길 22,,중개거래,강원 강릉시
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,202203,21,"37,400",13,2005,경강로2539번길 22,,중개거래,강원 강릉시
강원도 강릉시 교동,1982,1982,0,강릉교동롯데캐슬1단지,135.1727,202203,14,"58,000",3,2009,화부산로99번길 12,,중개거래,강원 강릉시
강원도 강릉시 교동,1983,1983,0,강릉교동롯데캐슬2단지,118.0686,202203,2,"53,500",13,2009,화부산로111번길 24,,중개거래,강원 강릉시
강원도 강릉시 교동,1750,1750,0,교동1주공,59.89,202203,10,"26,800",9,1999,가작로 78,,중개거래,강원 강릉시
강원도 강릉시 교동,1750,1750,0,교동1주공,84.84,202203,11,"34,900",8,1999,가작로 78,,중개거래,강원 강릉시
강원도 강릉시 교동,1750,1750,0,교동1주공,59.89,202203,15,"26,700",12,1999,가작로 78,,중개거래,강원 강릉시
강원도 강릉시 교동,1750,1750,0,교동1주공,59.89,202203,19,"23,900",2,1999,가작로 78,,중개거래,강원 강릉시
강원도 강릉시 교동,1750,1750,0,교동1주공,84.84,202203,19,"35,000",7,1999,가작로 78,,중개거래,강원 강릉시
강원도 강릉시 교동,1750,1750,0,교동1주공,49.85,202203,22,"21,700",8,1999,가작로 78,,중개거래,강원 강릉시
강원도 강릉시 교동,1750,1750,0,교동1주공,49.85,202203,26,"19,500",2,1999,가작로 78,,중개거래,강원 강릉시
강원도 강릉시 교동,1766,1766,0,교동3주공,59.79,202203,1,"27,800",4,2002,교동광장로 138-12,,중개거래,강원 강릉시
강원도 강릉시 교동,1766,1766,0,교동3주공,59.84,202203,2,"29,400",12,2002,교동광장로 138-12,,중개거래,강원 강릉시
강원도 강릉시 교동,1766,1766,0,교동3주공,59.74,202203,5,"30,000",14,2002,교동광장로 138-12,,중개거래,강원 강릉시
강원도 강릉시 교동,1766,1766,0,교동3주공,59.74,202203,12,"29,300",2,2002,교동광장로 138-12,,중개거래,강원 강릉시
강원도 강릉시 교동,1766,1766,0,교동3주공,59.74,202203,19,"30,000",14,2002,교동광장로 138-12,,중개거래,강원 강릉시
강원도 강릉시 교동,18-16,18,16,교동대림,84.98,202203,8,"24,500",7,1997,수리골길17번길 21,,중개거래,강원 강릉시
강원도 강릉시 교동,18-16,18,16,교동대림,59.84,202203,21,"18,200",11,1997,수리골길17번길 21,,중개거래,강원 강릉시
강원도 강릉시 교동,357,357,0,교동이-편한세상,123.7566,202203,7,"51,000",15,2006,종합운동장길 92,,중개거래,강원 강릉시
강원도 강릉시 교동,1773,1773,0,부영1,49.92,202203,21,"19,000",12,1999,정원로 53-4,,중개거래,강원 강릉시
강원도 강릉시 교동,1780,1780,0,부영3차,84.93,202203,17,"38,000",15,2001,하슬라로 124,,중개거래,강원 강릉시
강원도 강릉시 교동,1775,1775,0,부영6,84.9763,202203,18,"43,800",11,2003,정원로 53-9,,중개거래,강원 강릉시
강원도 강릉시 교동,348-6,348,6,서일2,27.75,202203,29,"6,300",2,1987,수리골길17번길 35,,중개거래,강원 강릉시
강원도 강릉시 교동,1034,1034,0,정아타워맨션,84.95,202203,26,"15,500",7,1992,화부산로 29,,중개거래,강원 강릉시
강원도 강릉시 교동,828-19,828,19,현대,84.945,202203,3,"18,700",4,1992,옛강일길 41,,중개거래,강원 강릉시
강원도 강릉시 교동,1759,1759,0,현대하이빌,122.74,202203,22,"50,000",5,1999,원대로128번길 14,,중개거래,강원 강릉시
강원도 강릉시 내곡동,616,616,0,강부2,24.795,202203,10,"4,400",3,1988,관대길 63,,중개거래,강원 강릉시
강원도 강릉시 내곡동,616,616,0,강부2,41.18,202203,25,"6,600",4,1988,관대길 63,20220415,중개거래,강원 강릉시
강원도 강릉시 내곡동,616,616,0,강부2,41.18,202203,25,"5,000",4,1988,관대길 63,,중개거래,강원 강릉시
강원도 강릉시 내곡동,127,127,0,남산삼익,84.48,202203,7,"25,500",5,1993,남부로125번길 37,,중개거래,강원 강릉시
