□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,
계약일자 : 20190301 ~ 20190331,,,,,,,,,,,,,,
실거래구분 : 아파트(매매),,,,,,,,,,,,,,
주소구분 : 도로명주소,,,,,,,,,,,,,,
시도 : 전체,,,,,,,,,,,,,,
시군구 : 전체,,,,,,,,,,,,,,
도로명 : 전체,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
경기도 안성시 금광면 신양복리,139-1,139,1,홍익,38.984,201903,25,"5,400",1,2001,종합운동장로 132,,-,-
경기도 안성시 금광면 신양복리,139-1,139,1,홍익,59.921,201903,30,"10,000",4,2001,종합운동장로 132,,-,-
경기도 안성시 금광면 신양복리,139-1,139,1,홍익,38.984,201903,31,"6,000",6,2001,종합운동장로 132,,-,-
경기도 안성시 금산동,100,100,0,금산주공,47.25,201903,15,"7,000",1,1987,안성맞춤대로 1127,,-,-
경기도 안성시 금산동,100,100,0,금산주공,38.52,201903,18,"5,000",3,1987,안성맞춤대로 1127,,-,-
경기도 안성시 금산동,100,100,0,금산주공,38.52,201903,19,"5,200",2,1987,안성맞춤대로 1127,,-,-
경기도 안성시 금산동,100,100,0,금산주공,38.52,201903,29,"4,900",3,1987,안성맞춤대로 1127,,-,-
경기도 안성시 금산동,Feb-81,81,2,주은청설,59.52,201903,4,"9,500",14,1999,대학로 64,,-,-
경기도 안성시 금산동,Feb-81,81,2,주은청설,84.87,201903,20,"13,200",5,1999,대학로 64,,-,-
경기도 안성시 금석동,81,81,0,동남,58.74,201903,20,"6,500",1,1998,안성맞춤대로 1320-21,,-,-
경기도 안성시 금석동,81,81,0,동남,58.74,201903,25,"5,000",2,1998,안성맞춤대로 1320-21,,-,-
경기도 안성시 낙원동,403-1,403,1,삼보,48.02,201903,7,"6,900",10,1992,낙원길 124,,-,-
경기도 안성시 낙원동,Mar-68,68,3,서광,84.56,201903,5,"10,900",6,1992,장기로 95,,-,-
경기도 안성시 당왕동,534,534,0,대우1,84.948,201903,6,"12,500",13,1993,고수1로 19,,-,-
경기도 안성시 당왕동,534,534,0,대우1,70.686,201903,12,"10,700",2,1993,고수1로 19,,-,-
경기도 안성시 당왕동,535,535,0,대우경남,59.347,201903,1,"11,000",13,1997,고수2로 20,,-,-
경기도 안성시 당왕동,535,535,0,대우경남,59.347,201903,5,"10,000",13,1997,고수2로 20,,-,-
경기도 안성시 당왕동,535,535,0,대우경남,84.974,201903,8,"12,500",1,1997,고수2로 20,,-,-
경기도 안성시 당왕동,535,535,0,대우경남,59.347,201903,18,"10,500",3,1997,고수2로 20,,-,-
경기도 안성시 당왕동,535,535,0,대우경남,84.974,201903,19,"15,000",7,1997,고수2로 20,,-,-
경기도 안성시 당왕동,535,535,0,대우경남,59.347,201903,21,"12,000",9,1997,고수2로 20,,-,-
경기도 안성시 당왕동,535,535,0,대우경남,59.347,201903,25,"10,600",4,1997,고수2로 20,,-,-
경기도 안성시 당왕동,536,536,0,쌍용,84.96,201903,2,"16,700",12,1993,남파로 130,,-,-
경기도 안성시 당왕동,536,536,0,쌍용,84.96,201903,5,"12,500",5,1993,남파로 130,,-,-
경기도 안성시 당왕동,536,536,0,쌍용,84.96,201903,12,"13,000",1,1993,남파로 130,,-,-
경기도 안성시 대덕면 내리,675,675,0,신라,32.76,201903,18,"5,500",10,1999,대학6길 25,,-,-
경기도 안성시 대덕면 내리,675,675,0,신라,35.28,201903,18,"5,500",7,1999,대학6길 25,,-,-
경기도 안성시 대덕면 내리,675,675,0,신라,35.28,201903,18,"5,500",14,1999,대학6길 25,,-,-
경기도 안성시 대덕면 내리,675,675,0,신라,35.28,201903,18,"5,500",7,1999,대학6길 25,,-,-
경기도 안성시 대덕면 내리,675,675,0,신라,35.28,201903,31,"5,000",13,1999,대학6길 25,,-,-
경기도 안성시 대덕면 신령리,820,820,0,안성롯데캐슬,59.9752,201903,1,"15,600",10,2016,서동대로 4725,,-,-
경기도 안성시 대덕면 신령리,820,820,0,안성롯데캐슬,59.9492,201903,2,"14,500",19,2016,서동대로 4725,,-,-
경기도 안성시 대덕면 신령리,820,820,0,안성롯데캐슬,74.4423,201903,4,"16,500",1,2016,서동대로 4725,,-,-
경기도 안성시 대덕면 신령리,820,820,0,안성롯데캐슬,77.0331,201903,4,"19,500",20,2016,서동대로 4725,,-,-
경기도 안성시 대덕면 신령리,820,820,0,안성롯데캐슬,77.0331,201903,8,"20,900",15,2016,서동대로 4725,,-,-
경기도 안성시 대덕면 신령리,820,820,0,안성롯데캐슬,59.9492,201903,11,"16,000",9,2016,서동대로 4725,,-,-
경기도 안성시 대덕면 신령리,820,820,0,안성롯데캐슬,59.9752,201903,11,"16,500",14,2016,서동대로 4725,,-,-
경기도 안성시 대덕면 신령리,820,820,0,안성롯데캐슬,84.9181,201903,16,"22,600",12,2016,서동대로 4725,,-,-
경기도 안성시 대덕면 신령리,820,820,0,안성롯데캐슬,74.5027,201903,21,"18,600",16,2016,서동대로 4725,,-,-
경기도 안성시 대덕면 신령리,820,820,0,안성롯데캐슬,74.5027,201903,25,"18,400",3,2016,서동대로 4725,,-,-
경기도 안성시 대덕면 신령리,820,820,0,안성롯데캐슬,74.4423,201903,26,"18,900",8,2016,서동대로 4725,,-,-
경기도 안성시 대덕면 신령리,820,820,0,안성롯데캐슬,84.9181,201903,27,"22,900",13,2016,서동대로 4725,,-,-
경기도 안성시 대덕면 진현리,555,555,0,유안,59.08,201903,5,"7,200",5,2005,안성맞춤대로 1654,,-,-
경기도 안성시 대덕면 진현리,555,555,0,유안,58.35,201903,16,"8,500",14,2005,안성맞춤대로 1654,,-,-
경기도 안성시 봉산동,42,42,0,한주,123.48,201903,12,"14,500",9,1992,월덕천길 17,,-,-
경기도 안성시 석정동,355,355,0,신원아침도시,84.99,201903,6,"21,900",3,2009,석정2길 13-8,,-,-
경기도 안성시 석정동,355,355,0,신원아침도시,84.99,201903,23,"23,000",11,2009,석정2길 13-8,,-,-
경기도 안성시 석정동,343,343,0,우남퍼스트빌,84.9765,201903,7,"26,000",9,2007,중앙로 274-7,,-,-
경기도 안성시 숭인동,83,83,0,안성우정에쉐르,118.889,201903,4,"20,500",13,2006,혜산로 37-16,,-,-
경기도 안성시 신소현동,175,175,0,안성신소현코아루,84.98,201903,5,"22,500",4,2006,남파로 73-9,,-,-
경기도 안성시 신소현동,175,175,0,안성신소현코아루,84.98,201903,8,"17,000",11,2006,남파로 73-9,,-,-
경기도 안성시 신소현동,175,175,0,안성신소현코아루,84.98,201903,8,"17,900",9,2006,남파로 73-9,,-,-
경기도 안성시 신소현동,175,175,0,안성신소현코아루,84.98,201903,14,"16,000",12,2006,남파로 73-9,,-,-
경기도 안성시 신소현동,175,175,0,안성신소현코아루,124.96,201903,20,"26,500",7,2006,남파로 73-9,,-,-
경기도 안성시 아양동,300,300,0,아양주공1,40,201903,28,"6,200",4,1991,아양로 23,,-,-
경기도 안성시 아양동,384,384,0,아양주공2,49.44,201903,16,"9,450",14,1995,석정2길 5,,-,-
경기도 안성시 옥산동,560,560,0,안성아양시티프라디움,84.9943,201903,18,"30,400",22,2018,아양2로 49,,-,-
경기도 안성시 옥산동,10,10,0,옥산주공,47.25,201903,9,"8,000",2,1988,중앙로 212,,-,-
경기도 안성시 옥산동,10,10,0,옥산주공,38.52,201903,18,"7,500",3,1988,중앙로 212,,-,-
경기도 안성시 원곡면 반제리,743,743,0,산수화,59.67,201903,1,"7,500",7,2003,벚꽃길 73,,-,-
경기도 안성시 원곡면 반제리,743,743,0,산수화,59.67,201903,11,"8,000",17,2003,벚꽃길 73,,-,-
경기도 안성시 원곡면 반제리,743,743,0,산수화,59.67,201903,16,"7,800",14,2003,벚꽃길 73,,-,-
경기도 안성시 원곡면 외가천리,361,361,0,원곡 제일 오투그란데,59.67,201903,12,"17,800",18,2018,만세로 1409,,-,-
경기도 안성시 일죽면 송천리,610,610,0,일죽아이시타운,70.512,201903,21,"9,800",3,2002,서동대로 7416-10,,-,-
경기도 안성시 일죽면 송천리,610,610,0,일죽아이시타운,80.249,201903,25,"10,000",3,2002,서동대로 7416-10,,-,-
경기도 안성시 일죽면 송천리,610,610,0,일죽아이시타운,80.249,201903,25,"10,000",7,2002,서동대로 7416-10,,-,-
경기도 안양동안구 관양동,1587,1587,0,공작럭키,49.8,201903,6,"32,400",17,1993,학의로 168,,-,-
경기도 안양동안구 관양동,1587,1587,0,공작럭키,49.8,201903,13,"29,850",14,1993,학의로 168,,-,-
경기도 안양동안구 관양동,1587,1587,0,공작럭키,49.8,201903,18,"27,000",3,1993,학의로 168,,-,-
경기도 안양동안구 관양동,1587-5,1587,5,공작성일,79.02,201903,12,"49,500",9,1993,달안로 153,,-,-
경기도 안양동안구 관양동,1587-5,1587,5,공작성일,39.6,201903,31,"25,000",10,1993,달안로 153,,-,-
경기도 안양동안구 관양동,1588,1588,0,공작아파트,60,201903,1,"41,100",12,1993,관평로212번길 21,,-,-
경기도 안양동안구 관양동,1588,1588,0,공작아파트,60,201903,1,"39,200",1,1993,관평로212번길 21,,-,-
경기도 안양동안구 관양동,1588,1588,0,공작아파트,50,201903,4,"33,000",7,1993,관평로212번길 21,,-,-
경기도 안양동안구 관양동,1588,1588,0,공작아파트,50,201903,11,"33,500",11,1993,관평로212번길 21,,-,-
경기도 안양동안구 관양동,1588,1588,0,공작아파트,60,201903,12,"42,000",11,1993,관평로212번길 21,,-,-
경기도 안양동안구 관양동,1588,1588,0,공작아파트,60,201903,12,"38,000",6,1993,관평로212번길 21,,-,-
경기도 안양동안구 관양동,1588,1588,0,공작아파트,37.85,201903,14,"19,700",1,1993,관평로212번길 21,,-,-
경기도 안양동안구 관양동,1588,1588,0,공작아파트,37.85,201903,25,"24,900",7,1993,관평로212번길 21,,-,-
경기도 안양동안구 관양동,1588,1588,0,공작아파트,50,201903,29,"30,800",13,1993,관평로212번길 21,,-,-
경기도 안양동안구 관양동,1425,1425,0,덕원맨숀6차,51.075,201903,4,"21,000",2,1986,관악대로359번길 28,,-,-
경기도 안양동안구 관양동,1389-3,1389,3,덕원연립,65.505,201903,29,"21,500",1,1984,관평로319번길 37,,-,-
경기도 안양동안구 관양동,1651,1651,0,동편마을(3단지),84.97,201903,29,"74,000",14,2012,동편로 110,,-,-
경기도 안양동안구 관양동,1651,1651,0,동편마을(3단지),84.95,201903,30,"74,000",19,2012,동편로 110,,-,-
경기도 안양동안구 관양동,1455,1455,0,신일해피트리,84.3716,201903,23,"42,200",3,2007,관악대로360번길 29-10,,-,-
경기도 안양동안구 관양동,1404-23,1404,23,아리랑6차아파트,51.12,201903,12,"23,000",3,1990,관평로336번길 48,,-,-
경기도 안양동안구 관양동,1510-1,1510,1,인덕원마을(삼성),59.8,201903,30,"53,000",25,1998,안양판교로 42,,-,-
경기도 안양동안구 관양동,1507-2,1507,2,파인빌,13.5208,201903,1,"10,400",4,2014,흥안대로 500-6,,-,-
경기도 안양동안구 관양동,1589,1589,0,한가람(세경),51.75,201903,5,"38,000",7,1996,달안로 110,,-,-
경기도 안양동안구 관양동,1589,1589,0,한가람(세경),51.75,201903,7,"33,600",7,1996,달안로 110,,-,-
경기도 안양동안구 관양동,1589,1589,0,한가람(세경),51.75,201903,9,"38,000",11,1996,달안로 110,,-,-
경기도 안양동안구 관양동,1589,1589,0,한가람(세경),51.75,201903,21,"31,300",6,1996,달안로 110,,-,-
경기도 안양동안구 관양동,1589,1589,0,한가람(세경),51.75,201903,29,"31,850",7,1996,달안로 110,,-,-
경기도 안양동안구 관양동,1589-1,1589,1,한가람(신라),45.8,201903,23,"28,000",6,1992,달안로 124,,-,-
경기도 안양동안구 관양동,1586,1586,0,한가람(한양),59.78,201903,16,"41,600",4,1995,학의로 120,,-,-
경기도 안양동안구 관양동,1586,1586,0,한가람(한양),41.09,201903,16,"26,700",6,1995,학의로 120,,-,-
경기도 안양동안구 관양동,1396,1396,0,현대,123.6,201903,29,"65,600",11,1985,관평로 333,,-,-
경기도 안양동안구 비산동,1102,1102,0,관악,84.9,201903,30,"48,400",7,1992,학의로 20,,-,-
경기도 안양동안구 비산동,1102-4,1102,4,관악부영4,84.63,201903,1,"49,000",5,1993,학의로 46,,-,-
경기도 안양동안구 비산동,1102-4,1102,4,관악부영4,59.44,201903,2,"43,000",18,1993,학의로 46,,-,-
경기도 안양동안구 비산동,1102-7,1102,7,관악성원,49.68,201903,15,"31,500",11,1992,동안로 209,,-,-
경기도 안양동안구 비산동,1102-7,1102,7,관악성원,49.68,201903,20,"32,700",12,1992,동안로 209,,-,-
경기도 안양동안구 비산동,1102-7,1102,7,관악성원,33.735,201903,23,"20,000",9,1992,동안로 209,,-,-
경기도 안양동안구 비산동,1102-7,1102,7,관악성원,49.68,201903,25,"34,000",8,1992,동안로 209,,-,-
경기도 안양동안구 비산동,1155,1155,0,그린빌주공,49.48,201903,6,"27,500",6,2003,임곡로 43,,-,-
경기도 안양동안구 비산동,1155,1155,0,그린빌주공,49.48,201903,8,"27,800",11,2003,임곡로 43,,-,-
경기도 안양동안구 비산동,1155,1155,0,그린빌주공,39.69,201903,17,"20,000",18,2003,임곡로80번길 33,,-,-
경기도 안양동안구 비산동,1155,1155,0,그린빌주공,49.48,201903,26,"25,800",2,2003,임곡로 43,,-,-
경기도 안양동안구 비산동,1155,1155,0,그린빌주공,59.93,201903,30,"33,000",5,2003,임곡로 43,,-,-
경기도 안양동안구 비산동,354-10,354,10,"뉴타운1,2,3",72.07,201903,23,"46,600",2,1981,동안로 283,,-,-
경기도 안양동안구 비산동,354-10,354,10,"뉴타운1,2,3",84.93,201903,23,"53,000",4,1981,동안로 283,,-,-
경기도 안양동안구 비산동,341,341,0,뉴타운5,84.99,201903,19,"54,500",4,1985,동안로 283,,-,-
경기도 안양동안구 비산동,361,361,0,뉴타운6,55.8,201903,15,"41,500",5,1988,동안로 268,,-,-
경기도 안양동안구 비산동,374,374,0,대주파크빌,83.14,201903,11,"34,000",9,2005,동안로 252,,-,-
경기도 안양동안구 비산동,406,406,0,미륭,87.4,201903,4,"31,500",1,1979,관악대로 164,,-,-
경기도 안양동안구 비산동,576-7,576,7,비산힐스테이트,82.2,201903,4,"44,500",18,2005,안양천동로 162,,-,-
경기도 안양동안구 비산동,576-7,576,7,비산힐스테이트,114.896,201903,30,"55,000",8,2005,안양천동로 162,,-,-
경기도 안양동안구 비산동,425,425,0,삼성래미안,84.918,201903,1,"56,400",24,2003,관악대로 121,,-,-
경기도 안양동안구 비산동,425,425,0,삼성래미안,84.918,201903,12,"50,000",2,2003,관악대로 135,,-,-
경기도 안양동안구 비산동,425,425,0,삼성래미안,59.871,201903,20,"43,500",22,2003,관악대로 135,,-,-
경기도 안양동안구 비산동,425,425,0,삼성래미안,59.871,201903,23,"46,500",7,2003,관악대로 135,,-,-
경기도 안양동안구 비산동,425,425,0,삼성래미안,84.918,201903,29,"50,500",3,2003,관악대로 135,,-,-
경기도 안양동안구 비산동,1101-2,1101,2,샛별마을한양4-1,42.615,201903,8,"22,100",14,1993,달안로 61,,-,-
경기도 안양동안구 비산동,1101-2,1101,2,샛별마을한양4-1,42.615,201903,8,"24,900",13,1993,달안로 61,,-,-
경기도 안양동안구 비산동,1101-2,1101,2,샛별마을한양4-1,42.615,201903,22,"22,300",1,1993,달안로 61,,-,-
경기도 안양동안구 비산동,1101-2,1101,2,샛별마을한양4-1,42.615,201903,27,"24,000",7,1993,달안로 61,,-,-
경기도 안양동안구 비산동,1101-6,1101,6,샛별한양4-2,41.265,201903,6,"24,000",12,1993,학의로 98,,-,-
경기도 안양동안구 비산동,1101-6,1101,6,샛별한양4-2,41.265,201903,18,"21,900",5,1993,학의로 98,,-,-
경기도 안양동안구 비산동,1101-6,1101,6,샛별한양4-2,84.9,201903,19,"55,000",6,1993,학의로 98,,-,-
경기도 안양동안구 비산동,1101-8,1101,8,샛별한양4-3,84.9,201903,20,"57,000",14,1993,달안로 75,,-,-
경기도 안양동안구 비산동,1109,1109,0,샛별한양6(고층1109),42.615,201903,4,"30,000",1,1993,달안로 62,,-,-
경기도 안양동안구 비산동,1109,1109,0,샛별한양6(고층1109),35.1,201903,9,"22,400",10,1993,달안로 62,,-,-
경기도 안양동안구 비산동,1109,1109,0,샛별한양6(고층1109),35.1,201903,23,"23,400",6,1993,달안로 62,,-,-
경기도 안양동안구 비산동,1109-4,1109,4,샛별한양6(고층1109-4),35.1,201903,5,"22,800",5,1993,달안로 78,,-,-
경기도 안양동안구 비산동,1109-4,1109,4,샛별한양6(고층1109-4),35.1,201903,23,"25,500",11,1993,달안로 78,,-,-
경기도 안양동안구 비산동,1109-4,1109,4,샛별한양6(고층1109-4),35.1,201903,30,"23,500",11,1993,달안로 78,,-,-
경기도 안양동안구 비산동,1109-6,1109,6,샛별한양6(고층1109-6),35.1,201903,16,"20,000",1,1992,평촌대로253번길 18,,-,-
경기도 안양동안구 비산동,557-7,557,7,성도,51.8,201903,4,"21,000",4,1982,관악대로69번길 14,,-,-
경기도 안양동안구 비산동,1028-20,1028,20,성원,84.84,201903,16,"30,500",1,1995,일동로 15,,-,-
경기도 안양동안구 비산동,1163,1163,0,안양임곡휴먼시아,59.95,201903,25,"41,000",17,2007,임곡로 16,,-,-
경기도 안양동안구 비산동,1103-5,1103,5,은하수마을한양,35.1,201903,4,"23,500",2,1993,동안로159번길 14,,-,-
경기도 안양동안구 비산동,1103-5,1103,5,은하수마을한양,42.615,201903,21,"30,000",5,1993,동안로159번길 14,,-,-
경기도 안양동안구 비산동,1103-5,1103,5,은하수마을한양,35.1,201903,25,"24,950",12,1993,동안로159번길 14,,-,-
경기도 안양동안구 비산동,1103-5,1103,5,은하수마을한양,35.1,201903,31,"22,000",10,1993,동안로159번길 14,,-,-
경기도 안양동안구 비산동,1103,1103,0,은하수벽산,76.05,201903,8,"54,300",11,1992,시민대로159번길 62,,-,-
경기도 안양동안구 비산동,1103,1103,0,은하수벽산,84.9,201903,30,"59,500",3,1992,시민대로159번길 62,,-,-
경기도 안양동안구 비산동,1103-4,1103,4,은하수신성,84.6,201903,26,"54,500",2,1992,달안로 40,,-,-
경기도 안양동안구 비산동,571-2,571,2,일진,54.48,201903,25,"37,000",4,1983,경수대로883번길 91,,-,-
경기도 안양동안구 비산동,572,572,0,한화꿈에그린,84.973,201903,19,"58,500",27,2009,경수대로883번길 33,,-,-
경기도 안양동안구 비산동,281-1,281,1,화남9,38.43,201903,16,"30,900",1,1988,매곡로34번길 13,,-,-
경기도 안양동안구 평촌동,314,314,0,귀인마을현대홈타운,80.374,201903,16,"63,000",2,2002,귀인로 208,,-,-
경기도 안양동안구 평촌동,932-6,932,6,꿈마을라이프,84.93,201903,16,"64,000",9,1992,귀인로 258,,-,-
경기도 안양동안구 평촌동,Jan-54,54,1,대도,49.82,201903,24,"27,000",3,1983,흥안대로434번길 19,,-,-
경기도 안양동안구 평촌동,Jan-54,54,1,대도,49.82,201903,28,"27,000",3,1983,흥안대로434번길 19,,-,-
경기도 안양동안구 평촌동,101,101,0,인덕원대림2차,84.92,201903,21,"51,000",19,2004,흥안대로414번길 39,,-,-
경기도 안양동안구 평촌동,101,101,0,인덕원대림2차,84.92,201903,23,"52,000",8,2004,흥안대로414번길 39,,-,-
경기도 안양동안구 평촌동,101,101,0,인덕원대림2차,84.92,201903,27,"52,000",13,2004,흥안대로414번길 39,,-,-
경기도 안양동안구 평촌동,Feb-75,75,2,인덕원대우,84.96,201903,16,"55,200",6,2001,학의로 390,,-,-
경기도 안양동안구 평촌동,Feb-75,75,2,인덕원대우,59.92,201903,16,"51,500",25,2001,학의로 390,,-,-
경기도 안양동안구 평촌동,Feb-75,75,2,인덕원대우,84.96,201903,25,"52,500",5,2001,학의로 390,,-,-
경기도 안양동안구 평촌동,113,113,0,천평대,84.4018,201903,8,"35,500",10,2003,흥안대로414번길 21-9,,-,-
경기도 안양동안구 평촌동,897-7,897,7,초원LG,59.79,201903,1,"46,900",9,1993,부림로 52,,-,-
경기도 안양동안구 평촌동,898-2,898,2,초원마을대림,59.742,201903,11,"40,000",6,1993,귀인로 237,,-,-
경기도 안양동안구 평촌동,898-2,898,2,초원마을대림,59.742,201903,19,"40,400",12,1993,귀인로 237,,-,-
경기도 안양동안구 평촌동,898-2,898,2,초원마을대림,59.742,201903,25,"44,000",4,1993,귀인로 237,,-,-
경기도 안양동안구 평촌동,898-6,898,6,초원마을대원,84.97,201903,26,"55,000",9,1993,부림로 55,,-,-
경기도 안양동안구 평촌동,898-6,898,6,초원마을대원,84.97,201903,30,"56,000",12,1993,부림로 55,,-,-
경기도 안양동안구 평촌동,896-2,896,2,초원마을세경,49.68,201903,5,"30,950",7,1996,관평로138번길 13,,-,-
경기도 안양동안구 평촌동,896-6,896,6,초원부영,60,201903,5,"49,000",12,1992,관평로138번길 63,,-,-
경기도 안양동안구 평촌동,896-6,896,6,초원부영,50,201903,22,"35,000",3,1992,관평로138번길 63,,-,-
경기도 안양동안구 평촌동,896-6,896,6,초원부영,60,201903,29,"43,750",3,1992,관평로138번길 63,,-,-
경기도 안양동안구 평촌동,897-5,897,5,초원한양,84.9,201903,6,"47,000",14,1993,부림로 80,,-,-
경기도 안양동안구 평촌동,897-5,897,5,초원한양,84.9,201903,14,"51,000",9,1993,부림로 80,,-,-
경기도 안양동안구 평촌동,899-7,899,7,향촌마을현대5차,59.76,201903,15,"50,500",6,1993,귀인로 213,,-,-
경기도 안양동안구 호계동,1279,1279,0,금정역호계푸르지오,59.96,201903,20,"46,300",4,2015,엘에스로116번길 56,,-,-
경기도 안양동안구 호계동,813,813,0,대림e-편한세상,59.982,201903,25,"34,000",13,2003,경수대로 430,,-,-
경기도 안양동안구 호계동,813,813,0,대림e-편한세상,84.99,201903,28,"39,900",2,2003,경수대로 430,,-,-
경기도 안양동안구 호계동,1054-6,1054,6,목련두산,131.85,201903,26,"84,500",1,1993,평촌대로179번길 27,,-,-
경기도 안양동안구 호계동,1054-6,1054,6,목련두산,131.85,201903,27,"100,000",9,1993,평촌대로179번길 27,,-,-
경기도 안양동안구 호계동,1055-1,1055,1,무궁화건영캐스빌,84.84,201903,23,"40,600",5,1992,동안로 11,,-,-
경기도 안양동안구 호계동,1056,1056,0,무궁화금호,72.89,201903,4,"45,800",5,1992,동안로 40,,-,-
경기도 안양동안구 호계동,1056-6,1056,6,무궁화진흥,84.63,201903,14,"43,500",10,1992,동안로 6,,-,-
경기도 안양동안구 호계동,1075,1075,0,무궁화태영,84.9,201903,6,"41,000",3,1992,경수대로610번길 37,,-,-
경기도 안양동안구 호계동,969-3,969,3,삼덕진주,55.6,201903,18,"23,400",5,1985,경수대로 511,,-,-
경기도 안양동안구 호계동,651-1,651,1,삼신6차,52.08,201903,5,"15,400",5,1984,흥안대로 50,,-,-
경기도 안양동안구 호계동,651-1,651,1,삼신6차,52.08,201903,6,"15,600",6,1984,흥안대로 50,,-,-
경기도 안양동안구 호계동,651-1,651,1,삼신6차,49.47,201903,15,"14,300",6,1984,흥안대로 50,,-,-
경기도 안양동안구 호계동,651-1,651,1,삼신6차,46.95,201903,23,"16,200",6,1984,흥안대로 50,,-,-
경기도 안양동안구 호계동,651-1,651,1,삼신6차,52.08,201903,26,"14,350",6,1984,흥안대로 50,,-,-
경기도 안양동안구 호계동,651-1,651,1,삼신6차,49.47,201903,28,"17,000",3,1984,흥안대로 50,,-,-
경기도 안양동안구 호계동,1117,1117,0,샘마을쌍용,101.91,201903,9,"56,250",10,1992,흥안대로223번길 16,,-,-
경기도 안양동안구 호계동,1121,1121,0,샘마을한양,88.73,201903,7,"52,500",5,1993,흥안대로223번길 47,,-,-
경기도 안양동안구 호계동,767-2,767,2,서부인터빌,71.0977,201903,1,"27,500",3,2003,경수대로 498,,-,-
경기도 안양동안구 호계동,923-28,923,28,신도브래뉴,66.62,201903,6,"31,900",18,2004,경수대로707번길 57,,-,-
경기도 안양동안구 호계동,923-21,923,21,신성미소지움,84.9292,201903,2,"43,500",21,2004,경수대로707번길 39,,-,-
경기도 안양동안구 호계동,1280,1280,0,신평촌일성트루엘파크,82.5546,201903,29,"58,400",8,2018,경수대로596번길 62-12,,-,-
경기도 안양동안구 호계동,923-30,923,30,엘디범계마을,59.88,201903,3,"27,700",4,1999,귀인로79번길 12,,-,-
경기도 안양동안구 호계동,923-30,923,30,엘디범계마을,84.57,201903,25,"35,800",8,1999,귀인로79번길 12,,-,-
경기도 안양동안구 호계동,999-25,999,25,일신,65.97,201903,20,"45,350",5,1984,경수대로544번길 81,,-,-
경기도 안양동안구 호계동,895,895,0,임광한마음1차,84.96,201903,3,"43,000",17,1999,경수대로797번길 5,,-,-
경기도 안양동안구 호계동,895,895,0,임광한마음1차,59.97,201903,11,"34,700",3,1999,경수대로797번길 5,,-,-
경기도 안양동안구 호계동,893-1,893,1,임광한마음2차,79.527,201903,10,"44,000",5,2003,경수대로797번길 12,,-,-
경기도 안양동안구 호계동,893-1,893,1,임광한마음2차,107.96,201903,19,"52,500",10,2003,경수대로797번길 12,,-,-
경기도 안양동안구 호계동,893-1,893,1,임광한마음2차,79.527,201903,19,"44,000",4,2003,경수대로797번길 12,,-,-
경기도 안양동안구 호계동,914-36,914,36,진성,61.56,201903,29,"43,000",4,1983,시민대로110번길 11-18,,-,-
경기도 안양동안구 호계동,902-20,902,20,진성베가타운,84.818,201903,30,"38,000",10,2005,시민대로 137,,-,-
경기도 안양동안구 호계동,914-40,914,40,호계1차현대홈타운,84.621,201903,10,"53,000",14,2002,경수대로733번길 23,,-,-
경기도 안양동안구 호계동,914-40,914,40,호계1차현대홈타운,84.621,201903,14,"53,000",22,2002,경수대로733번길 23,,-,-
경기도 안양동안구 호계동,811,811,0,호계2차현대홈타운,84.973,201903,1,"49,500",15,2003,경수대로 462,,-,-
경기도 안양동안구 호계동,811,811,0,호계2차현대홈타운,84.973,201903,14,"43,500",3,2003,경수대로 462,,-,-
경기도 안양동안구 호계동,811,811,0,호계2차현대홈타운,84.973,201903,30,"49,000",10,2003,경수대로 462,,-,-
경기도 안양동안구 호계동,570,570,0,호계럭키,84.79,201903,4,"40,000",4,1992,경수대로623번길 46,,-,-
경기도 안양동안구 호계동,766-4,766,4,호계삼익,71.52,201903,29,"27,900",7,1996,경수대로 480,,-,-
경기도 안양동안구 호계동,713,713,0,호계아크로리버,122.3945,201903,23,"38,500",19,2007,엘에스로 35,,-,-
경기도 안양동안구 호계동,819-2,819,2,휴먼빌,59.99,201903,14,"24,500",19,2000,호성로 37,,-,-
경기도 안양동안구 호계동,819-2,819,2,휴먼빌,84.96,201903,14,"28,300",6,2000,호성로 37,,-,-
경기도 안양동안구 호계동,819-2,819,2,휴먼빌,84.96,201903,15,"30,000",8,2000,호성로 37,,-,-
