□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,
계약일자 : 20190301 ~ 20190331,,,,,,,,,,,,,,
실거래구분 : 아파트(매매),,,,,,,,,,,,,,
주소구분 : 도로명주소,,,,,,,,,,,,,,
시도 : 전체,,,,,,,,,,,,,,
시군구 : 전체,,,,,,,,,,,,,,
도로명 : 전체,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
강원도 강릉시 내곡동,469,469,0,내곡동현대,59.84,201903,25,"11,700",2,1998,범일로 645,,-,-
강원도 강릉시 내곡동,623,623,0,내곡주공,39.69,201903,13,"6,480",3,1989,관대길16번길 6,,-,-
강원도 강릉시 내곡동,623,623,0,내곡주공,39.3,201903,14,"5,500",5,1989,관대길16번길 6,,-,-
강원도 강릉시 내곡동,476,476,0,내곡한라,59.97,201903,4,"12,400",10,1997,강변로 114,,-,-
강원도 강릉시 내곡동,476,476,0,내곡한라,59.97,201903,12,"10,000",7,1997,강변로 114,,-,-
강원도 강릉시 내곡동,476,476,0,내곡한라,59.97,201903,12,"12,400",11,1997,강변로 114,,-,-
강원도 강릉시 내곡동,476,476,0,내곡한라,59.97,201903,19,"12,500",10,1997,강변로 114,,-,-
강원도 강릉시 내곡동,756,756,0,석미모닝파크,84.98,201903,9,"15,000",5,2008,남산초교길11번길 12-5,,-,-
강원도 강릉시 내곡동,756,756,0,석미모닝파크,84.3,201903,29,"16,000",5,2008,남산초교길11번길 12-5,,-,-
강원도 강릉시 노암동,605,605,0,노암3한라,59.994,201903,9,"12,500",11,2000,남부로125번길 7,,-,-
강원도 강릉시 노암동,605,605,0,노암3한라,59.994,201903,18,"11,000",11,2000,남부로125번길 7,,-,-
강원도 강릉시 노암동,605,605,0,노암3한라,39.762,201903,21,"7,450",4,2000,남부로125번길 7,,-,-
강원도 강릉시 노암동,605,605,0,노암3한라,39.762,201903,22,"7,500",3,2000,남부로125번길 7,,-,-
강원도 강릉시 노암동,605,605,0,노암3한라,59.994,201903,23,"10,000",1,2000,남부로125번길 7,,-,-
강원도 강릉시 노암동,605,605,0,노암3한라,39.762,201903,26,"7,800",8,2000,남부로125번길 7,,-,-
강원도 강릉시 노암동,605,605,0,노암3한라,59.994,201903,31,"10,700",13,2000,남부로125번길 7,,-,-
강원도 강릉시 노암동,610,610,0,노암남산현대,84.99,201903,1,"14,500",13,1998,남부로125번길 11,,-,-
강원도 강릉시 노암동,610,610,0,노암남산현대,59.84,201903,5,"10,500",10,1998,남부로125번길 11,,-,-
강원도 강릉시 노암동,610,610,0,노암남산현대,59.84,201903,27,"11,350",7,1998,남부로125번길 11,,-,-
강원도 강릉시 노암동,610,610,0,노암남산현대,59.84,201903,31,"10,500",7,1998,남부로125번길 11,,-,-
강원도 강릉시 노암동,390,390,0,노암한라,59.976,201903,9,"10,300",6,1994,노암길42번길 28,,-,-
강원도 강릉시 노암동,390,390,0,노암한라,84.99,201903,16,"11,900",6,1994,노암길42번길 28,,-,-
강원도 강릉시 노암동,627-2,627,2,대림임대,48.32,201903,1,"5,300",3,1989,임영로25번길 13,,-,-
강원도 강릉시 노암동,627-2,627,2,대림임대,48.32,201903,15,"4,800",4,1989,임영로25번길 13,,-,-
강원도 강릉시 노암동,711,711,0,신화,84.954,201903,9,"15,500",13,1998,강변로 270,,-,-
강원도 강릉시 노암동,711,711,0,신화,44.64,201903,11,"8,700",8,1998,강변로 270,,-,-
강원도 강릉시 노암동,711,711,0,신화,44.64,201903,22,"8,800",8,1998,강변로 270,,-,-
강원도 강릉시 노암동,385,385,0,한라2,59.989,201903,13,"9,300",3,1995,남부로191번길 21,,-,-
강원도 강릉시 노암동,245-5,245,5,현대,71.175,201903,9,"9,500",6,1992,율곡로 2733,,-,-
강원도 강릉시 노암동,245-5,245,5,현대,84.945,201903,25,"13,700",3,1992,율곡로 2733,,-,-
강원도 강릉시 송정동,1061,1061,0,경포대신도브래뉴로얄카운티,155.416,201903,22,"49,470",11,2007,해안로 93-8,,-,-
강원도 강릉시 송정동,940-3,940,3,고려2,84.97,201903,12,"10,600",3,1991,남강초교2길 43,,-,-
강원도 강릉시 송정동,940-23,940,23,대림맨션,84.99,201903,15,"13,100",12,1991,남강초교2길 44,,-,-
강원도 강릉시 송정동,940,940,0,삼우은성,72.86,201903,16,"11,500",6,1992,남강초교1길 55,,-,-
강원도 강릉시 송정동,940,940,0,삼우은성,84.96,201903,21,"12,900",2,1992,남강초교1길 55,,-,-
강원도 강릉시 송정동,Oct-39,39,10,삼익비치맨션,84.544,201903,17,"14,800",6,1992,해안로 107,,-,-
강원도 강릉시 송정동,Oct-39,39,10,삼익비치맨션,84.544,201903,27,"12,500",1,1992,해안로 107,,-,-
강원도 강릉시 연곡면 영진리,336-1,336,1,근화,59.36,201903,29,"10,000",7,1997,영진2길 12-3,,-,-
강원도 강릉시 연곡면 영진리,305-2,305,2,삼우그린,30.24,201903,1,"4,900",6,1999,연주로 132,,-,-
강원도 강릉시 연곡면 영진리,305-2,305,2,삼우그린,30.24,201903,25,"5,000",7,1999,연주로 132,,-,-
강원도 강릉시 연곡면 영진리,11,11,0,영진부영1,59.987,201903,8,"12,600",10,2005,영진3길 38,,-,-
강원도 강릉시 연곡면 영진리,12,12,0,영진부영2,59.987,201903,1,"13,000",2,2005,영진3길 43,,-,-
강원도 강릉시 연곡면 영진리,12,12,0,영진부영2,59.987,201903,8,"14,000",8,2005,영진3길 43,,-,-
강원도 강릉시 연곡면 영진리,12,12,0,영진부영2,84.8923,201903,11,"20,500",11,2005,영진3길 43,,-,-
강원도 강릉시 연곡면 영진리,12,12,0,영진부영2,59.987,201903,19,"13,950",6,2005,영진3길 43,,-,-
강원도 강릉시 연곡면 영진리,380,380,0,영진부영3,84.9157,201903,13,"21,700",13,2008,영진3길 15,,-,-
강원도 강릉시 연곡면 영진리,380,380,0,영진부영3,84.9157,201903,18,"16,000",10,2008,영진3길 15,,-,-
강원도 강릉시 연곡면 영진리,380,380,0,영진부영3,84.9157,201903,19,"19,500",1,2008,영진3길 15,,-,-
강원도 강릉시 연곡면 영진리,380,380,0,영진부영3,84.9157,201903,25,"20,500",7,2008,영진3길 15,,-,-
강원도 강릉시 입암동,501,501,0,강동3,47.37,201903,14,"4,650",3,1993,강변로410번길 35,,-,-
강원도 강릉시 입암동,711,711,0,강릉더샵,84.94,201903,3,"24,000",9,2014,입암로29번길 11,,-,-
강원도 강릉시 입암동,711,711,0,강릉더샵,84.93,201903,6,"21,800",2,2014,입암로29번길 11,,-,-
강원도 강릉시 입암동,711,711,0,강릉더샵,84.94,201903,7,"23,400",11,2014,입암로29번길 11,,-,-
강원도 강릉시 입암동,711,711,0,강릉더샵,74.76,201903,21,"21,600",9,2014,입암로29번길 11,,-,-
강원도 강릉시 입암동,321,321,0,강릉입암동금호어울림,84.77,201903,9,"20,900",2,2007,성덕로 328-15,,-,-
강원도 강릉시 입암동,321,321,0,강릉입암동금호어울림,123.09,201903,11,"29,500",13,2007,성덕로 328-15,,-,-
강원도 강릉시 입암동,321,321,0,강릉입암동금호어울림,84.96,201903,11,"21,300",1,2007,성덕로 328-15,,-,-
