,Title,Location,Scale,Date_start,Date_finish,Size_one,Size_two,Price_one,Price_two
38,한화 포레나 천안노태 2단지,충청남도 천안시 서북구 백석동 76-50일원,777세대,2022-01-24,2022-01-27,111.5323,151.3754,"45,900","62,300"
39,호반써밋 포레센트 천안 삼룡1지구,충청남도 천안시 동남구 삼룡동 218-33,594세대,2022-01-24,2022-01-27,102.5848,188.4488,"34,400","72,550"
40,화성파크드림 공주월송,충청남도 공주시 월송동 669,303세대,2022-01-24,2022-01-27,111.0754,,"39,340",
41,김해 내덕지구 중흥S-클래스 더퍼스트,경상남도 김해시 내덕동 내덕지구 1블록 2-1로트,1040세대,2022-02-03,2022-02-07,78.9433,110.18,"29,000","41,300"
42,김해 장유역 한라비발디 센트로,경상남도 김해시 내덕지구 도시개발사업지구 46블록 1롯트,442세대,2022-02-03,2022-02-07,102.7978,111.8705,"37,431","40,891"
43,힐스테이트 몬테로이 1BL,경기도 용인시 처인구 모현읍 왕산리 산25,1043세대,2022-02-03,2022-02-07,78.773,246.47,"36,290","165,030"
44,힐스테이트 몬테로이 2BL,경기도 용인시 처인구 모현읍 왕산리 산25,1318세대,2022-02-03,2022-02-07,78.473,188.83,"35,930","139,700"
45,힐스테이트 몬테로이 3BL,경기도 용인시 처인구 모현읍 왕산리 산25,1370세대,2022-02-03,2022-02-07,78.56,188.571,"34,740","107,110"
46,한화 포레나 포항 2차,경상북도 포항시 북구 흥해읍 학천리 21번지 일원,350세대,2022-02-04,2022-02-08,111.78,,"39,850",
47,더샵 청주그리니티,충청북도 청주시 서원구 개신동 산104-6번지 일원,1191세대,2022-02-07,2022-02-10,85.2505,229.1389,"27,070","88,470"
48,화성비봉 공공주택지구 B2블록 호반 써밋,경기도 화성시 화성비봉 공공택지지구 B2블록,779세대,2022-02-07,2022-02-09,96.7539,113.246,"32,120","38,610"
49,광주 백운광장역 천년가 헤리시티,광주광역시 남구 백운동 634-1번지 일원,92세대,2022-02-14,2022-02-17,112.6371,112.1056,"58,896","58,944"
50,달서 푸르지오 시그니처,대구광역시 달서구 본리동 358-5,993세대,2022-02-14,2022-02-17,116.821,117.0663,"62,980","62,980"
51,도램마을13단지 중흥S-클래스 그린카운티,"세종특별자치시 보람로 95(도담동, 도램마을13단지)",70세대,2022-02-14,2022-02-16,81.401,,"14,333",
52,두산위브 광주센트럴파크,경기도 광주시 탄벌동 437-1,653세대,2022-02-14,2022-02-17,80.1093,111.5848,"38,900","52,100"
53,신경주역 더 메트로 줌파크,경상북도 경주시 건천읍 신경주역세권 B1BL,549세대,2022-02-14,2022-02-16,82.465,110.404,"26,700","36,100"
54,충주 세경아파트,충청북도 충주시 호암동 542-1외 1필지 세경아파트,171세대,2022-02-14,2022-02-16,66.11,,"6,850",
55,한화 포레나 청주매봉,충청북도 청주시 서원구 모충동 산62-10 일원,1849세대,2022-02-14,2022-02-17,100.0763,139.1207,"33,390","45,960"
56,양주 회천지구 A-20BL 대광로제비앙 2차(사전청약),경기도 양주시 덕계동 회천지구 A-20BL,502세대,2022-02-18,2022-02-22,98.0148,111.7583,"36,626","41,637"
57,파주 운정신도시 A33블록 우미 린(사전청약),경기도 파주시 운정신도시 A33블록,501세대,2022-02-18,2022-02-22,111.6135,112.0342,"44,070","43,060"
58,내포신도시 모아미래도 메가시티 2차,충청남도 홍성군 홍북읍 신경리 947-1(내포신도시 RH5-3블럭),836세대,2022-02-21,2022-02-24,111.0176,111.1526,"33,000","31,900"
59,대전 도마·변동 11구역 호반써밋 그랜드 센트럴,대전광역시 서구 도마동 145-8번지 일원,1017세대,2022-02-21,2022-02-24,60.4885,112.8151,"23,640","54,810"
60,센트레빌 아스테리움 영등포,서울특별시 영등포구 영등포동2가 439번지 일대,106세대,2022-02-21,2022-02-24,68.9251,83.9108,"54,927","67,100"
61,오산세교 한양수자인,경기도 오산시 서동 7-5번지 일원(서1구역 A2블럭),127세대,2022-02-21,2022-02-24,67.1078,109.0219,"28,110","47,090"
62,지제역 푸르지오 엘리아츠,경기도 평택시 동삭세교지구 도시개발구역 공동1블록,812세대,2022-02-21,2022-02-24,110.6181,110.1974,"53,533","53,325"
63,평택화양 휴먼빌 퍼스트시티,경기도 평택시 현덕면 화양길 94-39(평택화양지구 7-1BL),1468세대,2022-02-21,2022-02-24,84.2801,114.659,"32,732","46,357"
64,포항자이 디오션,경상북도 포항시 북구 항구동 17-358번지 일원,212세대,2022-02-21,2022-02-23,123.1467,222.6705,"64,450","269,580"
65,해링턴 플레이스 휴리움,대전광역시 중구 선화동 339-55번지 일원,744세대,2022-02-21,2022-02-24,80.168,111.1886,"37,150","56,270"
66,힐스테이트 레이크 송도 4차,인천광역시 연수구 송도동 397-2,1319세대,2022-02-21,2022-02-23,111.3703,220.4345,"89,900","249,700"
67,내포신도시 모아미래도 메가시티 2차,충청남도 홍성군 홍북읍 신경리 947-1(내포신도시 RH5-3블럭),836세대,2022-02-21,2022-02-24,111.0176,111.1526,"33,000","31,900"
68,장흥 줌파크 더 센트로,전라남도 장흥군 장흥읍 건산리 500-15번지 일원,239세대,2022-02-23,2022-02-25,108.5125,142.3586,"30,700","40,900"
69,e편한세상 안성 그랑루체,경기도 안성시 당왕동 42번지 일원,1370세대,2022-02-28,2022-03-04,88.0504,148.2323,"34,580","58,550"
70,수성 센트레빌 어반포레,대구광역시 수성구 파동 328-1번지 일원,310세대,2022-02-28,2022-03-04,92.0552,111.3042,"41,840","53,280"
71,신양주 모아엘가 니케,경기도 양주시 백석읍 홍죽리 산1-12번지 외 2필지,570세대,2022-02-28,2022-03-03,79.8219,111.5804,"23,540","33,880"
72,신영지웰 에스테이트 개봉역,서울특별시 구로구 개봉동 171-2번지 일원,101세대,2022-02-28,2022-03-04,54.5378,84.4058,"49,750","82,750"
73,칸타빌 수유팰리스,서울특별시 강북구 수유동 179-2외 4필지,216세대,2022-02-28,2022-03-04,36.5521,106.0268,"21,000","114,780"
74,힐스테이트 구리역,경기도 구리시 수택동 532번지 일원,250세대,2022-02-28,2022-03-04,80.69,108.42,"60,700","80,000"
75,힐스테이트 통영,경상남도 통영시 광도면 죽림리 327번지 일원,784세대,2022-02-28,2022-03-03,82.1056,195.0221,"32,100","79,330"
76,충주 예성세경아파트,충청북도 충주시 호암동 542-18외 3필지 예성세경아파트,555세대,2022-03-02,2022-03-04,29.969,62.86,"2,208","5,418"
77,엘리프세종6-3,세종특별자치시 산울동 일원(행정중심복합도시 6-3 M4블록),560세대,2022-03-04,2022-03-08,101.0305,114.141,"40,650","46,140"
78,KTX송도역 서해그랑블 더 파크,인천광역시 연수구 옥련동118-46번지 일원,348세대,2022-03-07,2022-03-11,99.056,108.869,"49,700","58,050"
79,광주 화정 골드클래스 2차,광주광역시 서구 화정동 23-191번지 일원,138세대,2022-03-07,2022-03-11,108.7165,108.806,"54,230","54,120"
80,라데사 포레 매곡,"광주광역시 북구 하백로5번길 34(매곡동, 라데사 포레 매곡)",44세대,2022-03-07,2022-03-11,125.7081,156.1533,"96,360","119,810"
81,첨단 프라임시티 서희스타힐스,광주광역시 북구 용두동 435-1번지 외 일원,56세대,2022-03-07,2022-03-11,94.4435,109.5095,"41,750","48,410"
82,이천 마장택지지구 B1블럭 휴먼빌까사포레,경기도 이천시 마장택지지구 B1블럭 (마장면 양촌리 354),338세대,2022-03-10,2022-03-14,83.41,111.807,"26,800","37,000"
83,파주운정3지구 A42블록 신영지웰 운정신도시,경기도 파주시 동패동 701-2,606세대,2022-03-10,2022-03-14,108.9503,129.5836,"45,700","54,200"
84,남청주 현도지구 B1블록 호반써밋(사전청약),충청북도 청주시 서원구 현도면 남청주 현도일반산업단지 B1블록,591세대,2022-03-10,2022-03-14,112.2,112.41,"33,197","33,239"
85,아산 탕정지구 2-A12BL 대광로제비앙(사전청약),충청남도 아산시 배방읍 세교리 아산 탕정지구 2-A12BL,368세대,2022-03-10,2022-03-14,109.7797,132.8699,"36,367","44,573"
86,울산다운2지구 B-2BL 우미린(사전청약),울산광역시 울주군 범서읍 서사리 305일원(울산다운2지구 B-2BL),1293세대,2022-03-10,2022-03-14,111.6266,112.5043,"40,050","39,510"
87,인천 검단신도시 AB13블록 호반써밋Ⅲ(사전청약),인천광역시 서구 원당동 검단신도시 AB13블록,815세대,2022-03-10,2022-03-14,111.6286,124.9052,"46,029","52,068"
88,제일풍경채 의왕고천(사전청약),경기도 의왕시 고천공공주택지구 B-2블록,810세대,2022-03-10,2022-03-15,109.372,110.4323,"63,488","63,475"
89,당진 수청2지구 RH-3블록 호반써밋 시그니처 3차,충청남도 당진시 수청동 당진수청2지구 RH-3블럭,853세대,2022-03-14,2022-03-16,113.3515,113.3515,"31,900","33,590"
90,서대전 한국아델리움,대전광역시 중구 당디로124번길 13-1(유천동),195세대,2022-03-14,2022-03-17,109.0702,109.3361,"45,055","47,510"
91,부산장안 디에트르(사전청약),부산광역시 기장군 장안읍 좌천리 361-4 일원,410세대,2022-03-14,2022-03-16,113.369,136.5173,"48,038","54,920"
92,부천 원종 아이원시티,경기도 부천시 소사로748번길 57-14(원종동),132세대,2022-03-17,2022-03-22,85.5436,105.083,"58,900","68,400"
93,가락마을6단지 중흥S-클래스 프라디움,"세종특별자치시 마음로 14(고운동, 가락마을6단지)",143세대,2022-03-21,2022-03-23,83.0869,84.0359,"16,882","17,139"
94,가락마을7단지 중흥S-클래스 프라디움,"세종특별자치시 마음안로 13(고운동, 가락마을7단지)",56세대,2022-03-21,2022-03-23,110.4674,110.5159,"22,252","22,351"
95,가야 봄여름가을겨울,부산광역시 부산진구 가야동 585,90세대,2022-03-21,2022-03-24,70.6456,102.8397,"28,900","51,500"
96,서광교 파크뷰,수원시 장안구 연무동 18-2 외 2필지,72세대,2022-03-21,2022-03-24,53.76,99.13,"29,420","59,000"
97,울산 베스티안,울산광역시 동구 전하동 681-1,62세대,2022-03-21,2022-03-23,108.131,109.8176,"49,230","49,376"
98,더 트루엘 포항,경상북도 포항시 남구 오천읍 구정리 528-9번지 일원,255세대,2022-03-25,2022-03-29,80.742,113.261,"25,990","34,240"
99,삼호 비스타동원,"울산광역시 남구 삼호로 68(무거동, 삼호주공아파트)",108세대,2022-03-28,2022-03-31,81.1354,115.1646,"45,250","66,780"
100,시지 라온프라이빗,대구광역시 수성구 신매동 69번지 일원,207세대,2022-03-28,2022-03-31,109.7994,,"79,980",
101,안양역 푸르지오 더샵,경기도 안양시 만안구 안양동 97-3번지 일원,687세대,2022-03-28,2022-03-31,59.84,131.76,"53,430","108,330"
102,오산 세교2지구 A20블록 힐데스하임(사전청약),경기도 오산시 오산세교2지구 A20블록,646세대,2022-03-28,2022-03-30,89.5984,108.9277,"33,180","40,256"
103,오산세교2 A-13블록 호반써밋(사전청약),경기도 오산시 오산세교2지구 A13블록,927세대,2022-03-28,2022-03-30,85.1167,110.9716,"33,597","45,030"
104,구서 태성에버리치,부산광역시 금정구 구서동 162-9,57세대,2022-04-04,2022-04-07,28.6675,66.9202,"11,036","27,830"
105,나주 한국아델리움 더하이츠,전라남도 나주시 이창동 714번지 일원,140세대,2022-04-04,2022-04-06,110.1763,192.7668,"32,769","55,401"
106,다대리슈빌,부산광역시 사하구 다대동 948-3번지 외 4필지,285세대,2022-04-04,2022-04-07,78.4813,78.4773,"36,073","36,071"
107,대구역자이 더 스타,대구광역시 북구 칠성동2가 500-2번지 일원,424세대,2022-04-04,2022-04-07,108.9405,156.2553,"54,440","131,970"
